location,public_hours,winter_play,type,lights,courts,place,additional,latitude,longitude
Agincourt ParkClub: Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,Sundays 2 p.m. - 4 p.m.Tuesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Holidays 2 p.m. - 4 p.m.,,Club,Yes,4,Agincourt Park, Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,43.78824,-79.2750717528308
Alamosa ParkClub: Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,Fridays 7 p.m. - 9 p.m.Saturdays 5 p.m. - 9 p.m.,,Club,No,3,Alamosa Park, Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,43.78105955,-79.36951124630866
Albion Gardens Park,,,Public,Yes,3,Albion Gardens Park,,43.739727,-79.55980657283447
Amesbury Park,,Yes,Public,No,2,Amesbury Park,,43.7061619,-79.48349185404643
Ancaster Park,,,Public,No,3,Ancaster Park,,43.733449,-79.46564707180451
Antibes Community Centre,,Yes,Public,No,1,Antibes Community Centre,,43.7811986,-79.4469846968868
Balmoral Park,,,Public,Yes,3,Balmoral Park,,43.74509415,-79.44994760635556
Banbury ParkClub: Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.,,Club,Yes,4,Banbury Park, Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,43.7427961,-79.3699566407258
Baycrest Park,,Yes,Public,Yes,2,Baycrest Park,,43.7269042,-79.44575063690014
Bayview Village Park,,,Public,No,3,Bayview Village Park,,43.7726738,-79.38855365061849
Beaches ParkClub: Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,Sundays 4 p.m. - 10 p.m.,,Club,Yes,10,Beaches Park, Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,43.6943139,-79.2888964
Beaumonde Heights Park,,,Public,No,3,Beaumonde Heights Park,,43.74052125,-79.57275475176831
Bellbury ParkClub: Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,5,Bellbury Park, Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,43.78217075,-79.36014183304832
