location,public_hours,winter_play,type,lights,courts,place,additional,latitude_old,longitude_old,coord_mannual,latitude,longitude
Agincourt ParkClub: Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,Sundays 2 p.m. - 4 p.m.Tuesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Holidays 2 p.m. - 4 p.m.,,Club,Yes,4,Agincourt Park, Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,43.78824,-79.27507175,"43.78825261397674, -79.27397565880979",43.78825261,-79.27397566
Alamosa ParkClub: Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,Fridays 7 p.m. - 9 p.m.Saturdays 5 p.m. - 9 p.m.,,Club,No,3,Alamosa Park, Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,43.78105955,-79.36951125,,43.78105955,-79.36951125
Albion Gardens Park,,,Public,Yes,3,Albion Gardens Park,,43.739727,-79.55980657,"43.73920976726979, -79.55909924835288",43.73920977,-79.55909925
Amesbury Park,,Yes,Public,No,2,Amesbury Park,,43.7061619,-79.48349185,"43.706904745950794, -79.48354389437841",43.70690475,-79.48354389
Ancaster Park,,,Public,No,3,Ancaster Park,,43.733449,-79.46564707,,43.733449,-79.46564707
Antibes Community Centre,,Yes,Public,No,1,Antibes Community Centre,,43.7811986,-79.4469847,,43.7811986,-79.4469847
Balmoral Park,,,Public,Yes,3,Balmoral Park,,43.74509415,-79.44994761,,43.74509415,-79.44994761
Banbury ParkClub: Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.,,Club,Yes,4,Banbury Park, Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,43.7427961,-79.36995664,,43.7427961,-79.36995664
Baycrest Park,,Yes,Public,Yes,2,Baycrest Park,,43.7269042,-79.44575064,"43.72877089942279, -79.44402904728456",43.7287709,-79.44402905
Bayview Village Park,,,Public,No,3,Bayview Village Park,,43.7726738,-79.38855365,"43.77329024153516, -79.3888682201092",43.77329024,-79.38886822
Beaches ParkClub: Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,Sundays 4 p.m. - 10 p.m.,,Club,Yes,10,Beaches Park, Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,43.6943139,-79.2888964,"43.666225, -79.300301",43.666225,-79.300301
Beaumonde Heights Park,,,Public,No,3,Beaumonde Heights Park,,43.74052125,-79.57275475,"43.73967330301776, -79.5729697445978",43.7396733,-79.57296974
Bellbury ParkClub: Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,5,Bellbury Park, Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,43.78217075,-79.36014183,"43.78428654558846, -79.36094969414172",43.78428655,-79.36094969
Bennington Heights ParkClub: Bennington Heights Tennis ClubWebsite: http://www.benningtonheightstennis.orgMembership: Open,Sundays 8 p.m. - 11 p.m.Mondays 8 p.m. - 11 p.m.,,Club,Yes,2,Bennington Heights Park, Bennington Heights Tennis ClubWebsite: http://www.benningtonheightstennis.orgMembership: Open,43.695152,-79.36945306,"43.694952619150484, -79.37015072026605",43.69495262,-79.37015072
Bestview Park,,Yes,Public,Yes,3,Bestview Park,,43.8025701,-79.38327388,,43.8025701,-79.38327388
Birch Park,,Yes,Public,Yes,2,Birch Park,,43.59178375,-79.52772043,"43.59116218237696, -79.52660607503904",43.59116218,-79.52660608
Bloordale Park South,,,Public,No,2,Bloordale Park South,,43.63577415,-79.5682667,,43.63577415,-79.5682667
"Bond ParkClub: Nyta Winter Tennis Club,The Don Mills Tennis ClubWebsite: http://www.nywintertennisclub.com http://www.donmillstennisclub.comMembership: Open",Sundays 4 p.m. - 7 p.m.Saturdays 4 p.m. - 7 p.m.,,Club,Yes,6,Bond Park," Nyta Winter Tennis Club,The Don Mills Tennis ClubWebsite: http://www.nywintertennisclub.com http://www.donmillstennisclub.comMembership: Open",43.74729515,-79.35138228,"43.74657131020382, -79.35033217620503",43.74657131,-79.35033218
Botany Hill ParkClub: Botany Hill Park,,,Club,Yes,4,Botany Hill Park, Botany Hill Park,43.77906755,-79.21429691,"43.77795926005801, -79.21088684521236",43.77795926,-79.21088685
Bridlewood ParkClub: Bridlewood Tennis ClubWebsite: http://www.bridlewoodtennis.caMembership: Open,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.Holidays 12 p.m. - 2 p.m.,,Club,Yes,3,Bridlewood Park, Bridlewood Tennis ClubWebsite: http://www.bridlewoodtennis.caMembership: Open,43.784113,-79.31507389,"43.78319742840526, -79.31667435850689",43.78319743,-79.31667436
Broadlands ParkClub: O'Connor Hills Tennis ClubWebsite: http://www.oconnorhillstennis.comMembership: Open,Closed for construction,,Club,Yes,4,Broadlands Park, O'Connor Hills Tennis ClubWebsite: http://www.oconnorhillstennis.comMembership: Open,43.74593405,-79.32179069,,43.74593405,-79.32179069
Buttonwood Park,,,Public,Yes,3,Buttonwood Park,,43.6820701,-79.52063726,,43.6820701,-79.52063726
Cassandra ParkClub: Parkway Valley Tennis ClubWebsite: http://www.pvtc.caMembership: Open,Sundays 5 p.m. - 8 p.m.Saturdays 4 p.m. - 7 p.m.,,Club,Yes,4,Cassandra Park, Parkway Valley Tennis ClubWebsite: http://www.pvtc.caMembership: Open,43.7544761,-79.3142098,"43.754705523385866, -79.31871255138007",43.75470552,-79.31871255
Cedarvale Park,,,Public,Yes,4,Cedarvale Park,,43.69084435,-79.42543998,"43.6928418836284, -79.43206262473393",43.69284188,-79.43206263
Charlottetown ParkClub: Charlottetown Tennis ClubWebsite: http://www.charlottetowntennis.comMembership: Open,Mondays 4 p.m. - 6 p.m. except holidaysWednesdays 4 p.m. - 6 p.m.Saturdays 8 am - 10 amHolidays 10 a.m. - 12 p.m.,,Club,Yes,3,Charlottetown Park, Charlottetown Tennis ClubWebsite: http://www.charlottetowntennis.comMembership: Open,43.78115475,-79.14011833,,43.78115475,-79.14011833
Clairlea Park,,,Public,No,2,Clairlea Park,,43.71429395,-79.28727363,,43.71429395,-79.28727363
Cliffwood Park,,,Public,No,3,Cliffwood Park,,43.80846645,-79.35513309,,43.80846645,-79.35513309
Cloverdale Park,,Yes,Public,Yes,3,Cloverdale Park,,43.63390645,-79.54466354,,43.63390645,-79.54466354
Clydesdale ParkClub: Pleasantview Tennis ClubWebsite: http://www.pleasantviewtennis.comMembership: Open,Saturdays 1 p.m. - 4 p.m.Sundays 1 p.m. - 4 p.m.Holidays 2 p.m. - 4.p.m,,Club,Yes,4,Clydesdale Park, Pleasantview Tennis ClubWebsite: http://www.pleasantviewtennis.comMembership: Open,43.783215,-79.32944398,,43.783215,-79.32944398
Coleman Park,,,Public,No,2,Coleman Park,,43.68944605,-79.29994261,,43.68944605,-79.29994261
Confederation ParkClub: Centennial Tennis ClubMembership: Open,Mondays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Saturdays 8 am - 10 amHolidays 4 p.m. - 6 p.m.,,Club,Yes,3,Confederation Park, Centennial Tennis ClubMembership: Open,43.77378245,-79.23618389,,43.77378245,-79.23618389
Cosburn Park,,,Public,Yes,5,Cosburn Park,,43.6932949,-79.33042198,,43.6932949,-79.33042198
Cresthaven ParkClub: Hillcrest Tennis ClubWebsite: http://www.hillcresttennisclub.caMembership: Open,Saturdays 12:30 p.m. - 3:30 p.m.Sundays 12:30 p.m. - 3:30 p.m.,,Club,Yes,4,Cresthaven Park, Hillcrest Tennis ClubWebsite: http://www.hillcresttennisclub.caMembership: Open,43.79922875,-79.36306329,,43.79922875,-79.36306329
Cummer Park,,Yes,Public,Yes,4,Cummer Park,,43.7990763,-79.37194588,"43.80004034579501, -79.3720271464981",43.80004035,-79.37202715
Dovercourt Park,,Yes,Public,No,2,Dovercourt Park,,43.66522275,-79.43353744,,43.66522275,-79.43353744
Dunlace ParkClub: Dunlace Tennis ClubWebsite: http://www.dunlacetennis.comMembership: Open,Fridays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,3,Dunlace Park, Dunlace Tennis ClubWebsite: http://www.dunlacetennis.comMembership: Open,43.76223145,-79.3688581,,43.76223145,-79.3688581
